Comp1-1	Comp1-2	Comp1-3	Mix1	Comp2-1	Comp2-2	Comp2-3	Mix2
0.00000000	0.00485014	0.00235598	257.00000000	0.00000000	0.00487242	0.00238846	645.00000000
0.00000000	0.00478486	0.00227381	229.00000000	0.00000000	0.00480802	0.00230524	641.00000000
0.00000000	0.00472047	0.00219457	231.00000000	0.00000000	0.00474448	0.00222496	591.00000000
0.00000000	0.00465695	0.00211815	231.00000000	0.00000000	0.00468178	0.00214752	644.00000000
0.00000000	0.00459430	0.00204446	227.00000000	0.00000000	0.00461992	0.00207282	638.00000000
0.00000000	0.00453250	0.00197340	242.00000000	0.00000000	0.00455888	0.00200077	608.00000000
0.00000000	0.00447154	0.00190487	241.00000000	0.00000000	0.00449866	0.00193126	579.00000000
0.00000000	0.00441142	0.00183878	241.00000000	0.00000000	0.00443923	0.00186421	538.00000000
0.00000000	0.00435210	0.00177505	253.00000000	0.00000000	0.00438060	0.00179953	540.00000000
0.00000000	0.00429360	0.00171359	200.00000000	0.00000000	0.00432275	0.00173714	565.00000000
0.00000000	0.00423589	0.00165432	206.00000000	0.00000000	0.00426566	0.00167696	556.00000000
0.00000000	0.00417897	0.00159716	180.00000000	0.00000000	0.00420934	0.00161890	513.00000000
0.00000000	0.00412282	0.00154205	200.00000000	0.00000000	0.00415377	0.00156290	505.00000000
0.00000000	0.00406744	0.00148890	204.00000000	0.00000000	0.00409893	0.00150888	514.00000000
0.00000000	0.00401281	0.00143764	211.00000000	0.00000000	0.00404483	0.00145676	524.00000000
0.00000000	0.00395892	0.00138821	216.00000000	0.00000000	0.00399145	0.00140650	499.00000000
0.00000000	0.00390577	0.00134054	206.00000000	0.00000000	0.00393877	0.00135801	495.00000000
0.00000000	0.00385334	0.00129457	200.00000000	0.00000000	0.00388680	0.00131123	451.00000000
0.00000000	0.00380162	0.00125025	166.00000000	0.00000000	0.00383552	0.00126611	458.00000000
0.00000000	0.00375060	0.00120750	177.00000000	0.00000000	0.00378492	0.00122258	474.00000000
0.00000000	0.00370028	0.00116627	187.00000000	0.00000000	0.00373500	0.00118060	475.00000000
0.00000000	0.00365065	0.00112652	182.00000000	0.00000000	0.00368574	0.00114010	441.00000000
0.00000000	0.00360169	0.00108818	160.00000000	0.00000000	0.00363713	0.00110103	414.00000000
0.00000000	0.00355340	0.00105121	161.00000000	0.00000000	0.00358917	0.00106334	398.00000000
0.00000000	0.00350576	0.00101556	131.00000000	0.00000000	0.00354185	0.00102699	401.00000000
0.00000000	0.00345877	0.00098118	171.00000000	0.00000000	0.00349516	0.00099192	424.00000000
0.00000000	0.00341242	0.00094802	173.00000000	0.00000000	0.00344910	0.00095809	413.00000000
0.00000000	0.00336670	0.00091605	164.00000000	0.00000000	0.00340364	0.00092546	390.00000000
0.00000000	0.00332161	0.00088522	167.00000000	0.00000000	0.00335879	0.00089398	390.00000000
0.00000000	0.00327713	0.00085548	161.00000000	0.00000000	0.00331454	0.00086362	405.00000000
0.00000000	0.00323325	0.00082681	134.00000000	0.00000000	0.00327087	0.00083433	390.00000000
0.00000000	0.00318997	0.00079916	170.00000000	0.00000000	0.00322779	0.00080607	362.00000000
0.00000000	0.00314728	0.00077249	143.00000000	0.00000000	0.00318528	0.00077882	358.00000000
0.00000000	0.00310516	0.00074678	134.00000000	0.00000000	0.00314334	0.00075253	376.00000000
0.00000000	0.00306363	0.00072198	137.00000000	0.00000000	0.00310195	0.00072717	378.00000000
0.00000000	0.00302265	0.00069806	148.00000000	0.00000000	0.00306112	0.00070270	357.00000000
0.00000000	0.00298224	0.00067500	149.00000000	0.00000000	0.00302083	0.00067910	352.00000000
0.00000000	0.00294237	0.00065276	143.00000000	0.00000000	0.00298107	0.00065634	339.00000000
0.00000000	0.00290305	0.00063132	148.00000000	0.00000000	0.00294185	0.00063438	340.00000000
0.00000000	0.00286426	0.00061063	145.00000000	0.00000000	0.00290314	0.00061320	306.00000000
0.00000000	0.00282600	0.00059069	124.00000000	0.00000000	0.00286496	0.00059276	312.00000000
0.00000000	0.00278826	0.00057146	118.00000000	0.00000000	0.00282728	0.00057305	297.00000000
0.00000000	0.00275104	0.00055291	129.00000000	0.00000000	0.00279010	0.00055404	325.00000000
0.00000000	0.00271432	0.00053502	106.00000000	0.00000000	0.00275342	0.00053570	289.00000000
